Country,lowername,City,Region,Population,Latitude,Longitude
us,alico,Alico,CA,,36.5697222,-117.9622222
us,alimur park mobile home park,Alimur Park Mobile Home Park,CA,,36.9866667,-121.9605556
us,aliso,Aliso,CA,,33.7269444,-117.8322222
us,aliso viejo,Aliso Viejo,CA,41314,33.6083333,-117.7444444
us,alla,Alla,CA,,33.9811111,-118.4288889
us,alleghany,Alleghany,CA,,39.4697222,-120.8422222
us,allen,Allen,CA,,38.6172222,-120.1097222
us,allendale,Allendale,CA,,38.4447222,-121.9419444
us,allensworth,Allensworth,CA,,35.8636111,-119.3880556
us,alliance,Alliance,CA,,40.8886111,-124.0866667
us,alliance redwood,Alliance Redwood,CA,,38.4338889,-122.9719444
us,almanor,Almanor,CA,,40.2175,-121.1730556
us,almanor west,Almanor West,CA,,40.2363889,-121.2033333
us,almond,Almond,CA,,33.8588889,-117.9838889
us,almonte,Almonte,CA,,37.89,-122.5238889
us,alondra park,Alondra Park,CA,8028,33.8894444,-118.33
us,alpaugh,Alpaugh,CA,,35.8877778,-119.4863889
us,alphine village,Alphine Village,CA,,38.7730556,-119.8169444
us,alpine,Alpine,CA,15391,32.835,-116.7655556
us,alpine heights,Alpine Heights,CA,,32.8180556,-116.78
us,alpine meadows,Alpine Meadows,CA,,39.1786111,-120.2266667
us,alpine village,Alpine Village,CA,,33.6061111,-116.4688889
us,alray,Alray,CA,,34.3283333,-117.4819444
us,alsace,Alsace,CA,,33.9786111,-118.4147222
us,alta,Alta,CA,,39.2066667,-120.8102778
us,alta hill,Alta Hill,CA,,39.23,-121.0755556
us,alta loma,Alta Loma,CA,,34.1222222,-117.5972222
us,alta mesa,Alta Mesa,CA,,37.3988889,-122.1336111
us,alta sierra,Alta Sierra,CA,,39.1416667,-121.0527778
us,alta sierra estates,Alta Sierra Estates,CA,,39.1141667,-121.0541667
us,alta sierra ranches,Alta Sierra Ranches,CA,,39.1044444,-121.0236111
us,alta vista,Alta Vista,CA,,37.4127778,-118.5416667
us,alta vista park,Alta Vista Park,CA,,39.2275,-121.0655556
us,altacanyada,Altacanyada,CA,,34.2222222,-118.2111111
us,altadena,Altadena,CA,43226,34.1897222,-118.1302778
us,altamont,Altamont,CA,,37.7438889,-121.6616667
us,altaville,Altaville,CA,,38.0838889,-120.5608333
us,alten,Alten,CA,,38.3813889,-122.8052778
us,alto,Alto,CA,,37.9044444,-122.5244444
us,alton,Alton,CA,,40.5475,-124.1397222
us,alturas,Alturas,CA,,41.4872222,-120.5413889
us,alum rock,Alum Rock,CA,,37.3661111,-121.8261111
us,alviso,Alviso,CA,,37.4261111,-121.9741667
us,amador city,Amador City,CA,,38.4194444,-120.8230556
us,amber hills,Amber Hills,CA,,34.1422222,-117.2077778
us,ambler,Ambler,CA,,36.3080556,-119.2813889
us,ambler park,Ambler Park,CA,,36.5763889,-121.7191667
us,amboy,Amboy,CA,,34.5577778,-115.7436111
us,ambrose,Ambrose,CA,,41.5019444,-120.9802778
us,american canyon,American Canyon,CA,15513,38.175,-122.2597222
us,amesti,Amesti,CA,,36.9636111,-121.7780556
us,amos,Amos,CA,,33.1180556,-115.255
us,ampere,Ampere,CA,,38.1025,-121.2422222
us,amsterdam,Amsterdam,CA,,37.4302778,-120.5411111
us,anaheim,Anaheim,CA,333689,33.8352778,-117.9136111
us,anaheim hills,Anaheim Hills,CA,,33.8444444,-117.7763889
us,anchor bay,Anchor Bay,CA,,38.8027778,-123.5766667
us,anderson,Anderson,CA,10684,40.4483333,-122.2966667
us,andersonia,Andersonia,CA,,39.9780556,-123.8061111
us,andesite,Andesite,CA,,41.5325,-122.2036111
us,andover,Andover,CA,,39.3105556,-120.2461111
us,andrade corner,Andrade Corner,CA,,34.6486111,-118.3761111
us,angelino heights,Angelino Heights,CA,,34.0702778,-118.2538889
us,angels camp,Angels Camp,CA,,38.0683333,-120.5386111
us,angelus oaks,Angelus Oaks,CA,,34.1458333,-116.9816667
us,angiola,Angiola,CA,,35.9891667,-119.475
us,angwin,Angwin,CA,,38.5758333,-122.4488889
us,anita,Anita,CA,,39.8108333,-121.9772222
us,annapolis,Annapolis,CA,,38.7219444,-123.3686111
us,annette,Annette,CA,,35.6508333,-120.1780556
us,ansel,Ansel,CA,,34.905,-118.1533333
us,antelope,Antelope,CA,,38.7083333,-121.3288889
us,antelope acres,Antelope Acres,CA,,34.7544444,-118.2886111
us,antelope center,Antelope Center,CA,,34.58,-117.9683333
us,antelope hills,Antelope Hills,CA,,33.6055556,-117.1661111
us,antes,Antes,CA,,36.3086111,-119.1297222
us,antioch,Antioch,CA,106038,38.005,-121.8047222
us,antlers,Antlers,CA,,40.8955556,-122.37
us,antonio,Antonio,CA,,34.8352778,-120.5688889
us,anza,Anza,CA,,33.555,-116.6727778
us,apex,Apex,CA,,38.7269444,-120.8222222
us,apollo,Apollo,CA,,35.3416667,-116.8736111
us,apple valley,Apple Valley,CA,64271,34.5008333,-117.185
us,apple valley estates,Apple Valley Estates,CA,,38.0111111,-120.3277778
us,apple valley highlands,Apple Valley Highlands,CA,,34.3911111,-117.2166667
us,applegate,Applegate,CA,,39.0008333,-120.9913889
us,aptos,Aptos,CA,9701,36.9772222,-121.8983333
us,arabian gardens mobile home park,Arabian Gardens Mobile Home Park,CA,,33.7305556,-116.2405556
us,arastraville,Arastraville,CA,,37.9980556,-120.2258333
us,araz junction,Araz Junction,CA,,32.7472222,-114.7136111
us,arbee,Arbee,CA,,39.2111111,-121.9947222
us,arbios,Arbios,CA,,36.7766667,-120.3969444
us,arboga,Arboga,CA,,39.0513889,-121.5547222
us,arbolada,Arbolada,CA,,34.4497222,-119.2572222
us,arbor,Arbor,CA,,37.9616667,-121.7222222
us,arbuckle,Arbuckle,CA,,39.0175,-122.0566667
us,arcade,Arcade,CA,,38.4758333,-121.5786111
us,arcadia,Arcadia,CA,56716,34.1397222,-118.0344444
us,arcata,Arcata,CA,17199,40.8666667,-124.0816667
us,archer,Archer,CA,,34.4205556,-115.3647222
us,arcilla,Arcilla,CA,,33.7833333,-117.4786111
us,arden town,Arden Town,CA,,38.5741667,-121.3819444
us,arena,Arena,CA,,37.3708333,-120.6752778
us,argos,Argos,CA,,34.7258333,-116.25
us,arguello,Arguello,CA,,34.5783333,-120.6419444
us,argus,Argus,CA,,35.7472222,-117.3944444
us,arlanza,Arlanza,CA,,33.9427778,-117.4647222
us,arlight,Arlight,CA,,34.5777778,-120.6383333
us,arlington,Arlington,CA,,33.9202778,-117.4455556
us,arlington station,Arlington Station,CA,,33.9141667,-117.4402778
us,arlynda corners,Arlynda Corners,CA,,40.595,-124.2538889
us,armistead,Armistead,CA,,35.5477778,-117.9266667
us,armona,Armona,CA,,36.3158333,-119.7075
us,armstrong,Armstrong,CA,,39.3283333,-120.2352778
us,arnold,Arnold,CA,,38.2555556,-120.35
us,arnold heights,Arnold Heights,CA,,33.8936111,-117.2780556
us,aromas,Aromas,CA,,36.8886111,-121.6419444
us,arrowbear lake,Arrowbear Lake,CA,,34.2108333,-117.0825
us,arrowhead equestrian estates,Arrowhead Equestrian Estates,CA,,34.3577778,-117.2488889
us,arrowhead highlands,Arrowhead Highlands,CA,,34.23,-117.2619444
us,arrowhead junction,Arrowhead Junction,CA,,34.9427778,-114.8236111
us,arrowhead springs,Arrowhead Springs,CA,,34.1866667,-117.2608333
us,arroyo fairways mobile home club,Arroyo Fairways Mobile Home Club,CA,,33.7458333,-116.9111111
us,arroyo grande,Arroyo Grande,CA,16613,35.1186111,-120.5897222
us,arroyo mobile home park,Arroyo Mobile Home Park,CA,,34.3733333,-119.3061111
us,arroyo vista,Arroyo Vista,CA,,38.7233333,-121.0536111
us,arroz,Arroz,CA,,38.6208333,-121.97
us,artesia,Artesia,CA,16992,33.8658333,-118.0822222
us,artois,Artois,CA,,39.6197222,-122.1927778
us,arts trailer court,Arts Trailer Court,CA,,34.2236111,-119.1397222
us,arvin,Arvin,CA,14744,35.2091667,-118.8275
us,asco,Asco,CA,,37.6830556,-121.8716667
us,ash creek junction,Ash Creek Junction,CA,,41.2675,-122.0766667
us,ash hill,Ash Hill,CA,,34.7069444,-116.0541667
us,ashford junction,Ashford Junction,CA,,35.9097222,-116.6725
us,ashland,Ashland,CA,23467,37.6947222,-122.1127778
us,ashrama,Ashrama,CA,,37.3072222,-121.4686111
us,aspen springs,Aspen Springs,CA,,37.5547222,-118.7122222
us,aspen valley,Aspen Valley,CA,,37.8275,-119.7702778
us,aspendell,Aspendell,CA,,37.2380556,-118.5975
us,asti,Asti,CA,,38.7630556,-122.9719444
us,asuncion,Asuncion,CA,,35.515,-120.6783333
us,asylum,Asylum,CA,,39.1336111,-123.1994444
us,atascadero,Atascadero,CA,27308,35.4894444,-120.6697222
us,athens,Athens,CA,,33.92,-118.2802778
us,atherton,Atherton,CA,,37.4613889,-122.1966667
us,athlone,Athlone,CA,,37.2080556,-120.3569444
us,atlanta,Atlanta,CA,,37.8130556,-121.1197222
us,atlas,Atlas,CA,,38.4291667,-122.2469444
us,atolia,Atolia,CA,,35.3147222,-117.6083333
us,atwater,Atwater,CA,29686,37.3477778,-120.6080556
us,atwood,Atwood,CA,,33.8655556,-117.83
us,auberry,Auberry,CA,,37.0808333,-119.4844444
us,auburn,Auburn,CA,12523,38.8966667,-121.0758333
us,auburn hills mobile estates,Auburn Hills Mobile Estates,CA,,38.9261111,-121.0872222
us,auburn lake trails,Auburn Lake Trails,CA,,38.9144444,-120.9513889
us,auckland,Auckland,CA,,36.5880556,-119.1058333
us,august,August,CA,,37.9788889,-121.2611111
us,aukum,Aukum,CA,,38.5572222,-120.7255556
us,aurant,Aurant,CA,,34.0780556,-118.1633333
us,aurora,Aurora,CA,,37.66,-121.0016667
us,austin,Austin,CA,,37.2425,-121.9972222
us,avalon,Avalon,CA,,33.3427778,-118.3269444
us,avalon village,Avalon Village,CA,,33.8127778,-118.2630556
us,avena,Avena,CA,,37.8430556,-121.0652778
us,avenal,Avenal,CA,16727,36.0041667,-120.1280556
us,avery,Avery,CA,,38.2044444,-120.3688889
us,avery place,Avery Place,CA,,40.1819444,-121.7794444
us,avila beach,Avila Beach,CA,,35.18,-120.7308333
us,avila place,Avila Place,CA,,41.0430556,-120.8666667
us,avinsino corner,Avinsino Corner,CA,,38.6936111,-120.6755556
us,avocado,Avocado,CA,,36.7894444,-119.4030556
us,avocado heights,Avocado Heights,CA,15832,34.0361111,-117.9902778
us,avon,Avon,CA,,38.0327778,-122.0741667
us,azalea,Azalea,CA,,41.2783333,-122.3011111
us,azure vista,Azure Vista,CA,,32.7194444,-117.2622222
us,azusa,Azusa,CA,48297,34.1336111,-117.9066667
us,baden,Baden,CA,,37.6497222,-122.4330556
us,badger,Badger,CA,,36.6313889,-119.0122222
us,badwater,Badwater,CA,,36.2297222,-116.7661111
us,bagdad,Bagdad,CA,,34.5827778,-115.8747222
us,bahia,Bahia,CA,,38.0966667,-122.1019444
us,bailhache,Bailhache,CA,,38.6036111,-122.8536111
us,bak,Bak,CA,,38.4575,-122.6702778
us,baker,Baker,CA,,35.265,-116.0736111
us,bakersfield,Bakersfield,CA,291389,35.3733333,-119.0177778
us,balance rock,Balance Rock,CA,,35.8061111,-118.6511111
us,balboa,Balboa,CA,,33.5869444,-117.9
us,balboa island,Balboa Island,CA,,33.5944444,-117.8908333
us,balch,Balch,CA,,35.0427778,-116.0266667
us,balch camp,Balch Camp,CA,,36.9030556,-119.1222222
us,balderson station,Balderson Station,CA,,38.9347222,-120.7530556
us,baldwin hills,Baldwin Hills,CA,,34.00195,-118.35695
us,baldwin lake,Baldwin Lake,CA,,34.2794444,-116.7963889
us,baldwin park,Baldwin Park,CA,80566,34.0852778,-117.96
us,baldy mesa,Baldy Mesa,CA,,34.4591667,-117.4502778
us,bale,Bale,CA,,38.5541667,-122.5094444
us,ballarat,Ballarat,CA,,36.0477778,-117.2225
us,ballard,Ballard,CA,,34.6358333,-120.1122222
us,ballena,Ballena,CA,,33.0652778,-116.7458333
us,ballico,Ballico,CA,,37.4544444,-120.705
us,ballou,Ballou,CA,,34.0491667,-117.6061111
us,baltimore park,Baltimore Park,CA,,37.9308333,-122.5313889
us,baltimore town,Baltimore Town,CA,,39.3877778,-120.5391667
us,banadelle ranchos,Banadelle Ranchos,CA,,36.9666667,-119.8930556
us,bancroft,Bancroft,CA,,37.9338889,-122.0461111
us,bancroft point,Bancroft Point,CA,,32.7369444,-116.9847222
us,bandini,Bandini,CA,,34.0066667,-118.1669444
us,banfield place,Banfield Place,CA,,40.0866667,-122.6075
us,bangle,Bangle,CA,,33.8244444,-118.2277778
us,bangor,Bangor,CA,,39.3886111,-121.4041667
us,bankhead springs,Bankhead Springs,CA,,32.6497222,-116.2430556
us,banner,Banner,CA,,33.0688889,-116.5452778
us,banner crest,Banner Crest,CA,,39.2355556,-121.0180556
us,banning,Banning,CA,30411,33.9255556,-116.8755556
us,bannister,Bannister,CA,,35.2655556,-119.0997222
us,bannock,Bannock,CA,,34.9366667,-114.8630556
us,banta,Banta,CA,,37.7544444,-121.3697222
us,bar j ranch,Bar J Ranch,CA,,38.6619444,-121.0097222
us,barber,Barber,CA,,39.7147222,-121.8344444
us,barber city,Barber City,CA,,33.7588889,-118.0233333
us,bard,Bard,CA,,32.7891667,-114.5552778
us,bardi,Bardi,CA,,37.7647222,-121.1641667
us,bardsdale,Bardsdale,CA,,34.3716667,-118.9319444
us,barlow,Barlow,CA,,38.425,-122.8575
us,barnwell,Barnwell,CA,,35.2930556,-115.235
us,baroda,Baroda,CA,,34.6866667,-120.5916667
us,barona,Barona,CA,,32.9358333,-116.8672222
us,baronet estates,Baronet Estates,CA,,36.5630556,-121.7538889
us,barrett,Barrett,CA,,37.64,-120.2847222
us,barrett junction,Barrett Junction,CA,,32.6113889,-116.7063889
us,barro,Barro,CA,,38.5261111,-122.4916667
us,barstow,Barstow,CA,24202,34.8986111,-117.0219444
us,barstow heights,Barstow Heights,CA,,34.8697222,-117.0552778
us,barsug,Barsug,CA,,34.9575,-120.5719444
us,bartle,Bartle,CA,,41.2577778,-121.82
us,bartlett,Bartlett,CA,,36.4766667,-118.03
us,bartlett springs,Bartlett Springs,CA,,39.1838889,-122.7033333
us,bartolo,Bartolo,CA,,34.0063889,-118.0613889
us,barton,Barton,CA,,38.4547222,-120.5291667
us,basin,Basin,CA,,35.0430556,-116.2941667
us,bass lake,Bass Lake,CA,,37.3247222,-119.5652778
us,bass lake annex,Bass Lake Annex,CA,,37.2713889,-119.5330556
us,bassett,Bassett,CA,,34.0497222,-117.9958333
us,bassetts,Bassetts,CA,,39.6197222,-120.5863889
us,batavia,Batavia,CA,,38.4063889,-121.8586111
us,bateman place,Bateman Place,CA,,40.6236111,-121.7375
us,batto,Batto,CA,,38.2836111,-122.4358333
us,baumberg,Baumberg,CA,,37.6208333,-122.0991667
us,baxter,Baxter,CA,,39.2130556,-120.78
us,bay park,Bay Park,CA,,32.7816667,-117.2055556
us,bay point,Bay Point,CA,24125,38.0291667,-121.9605556
us,bay shores,Bay Shores,CA,,33.6147222,-117.91
us,bayles place,Bayles Place,CA,,40.1494444,-122.6405556
us,bayliss,Bayliss,CA,,39.5827778,-122.0447222
us,bayo vista,Bayo Vista,CA,,38.0369444,-122.2602778
us,bayshore,Bayshore,CA,,37.7063889,-122.4122222
us,bayside,Bayside,CA,,40.8425,-124.0625
us,bayside village,Bayside Village,CA,,32.7813889,-117.2025
us,bayview,Bayview,CA,,40.7727778,-124.1827778
us,bayview district,Bayview District,CA,,37.7341667,-122.3902778
us,baywood park,Baywood Park,CA,,35.3263889,-120.8341667
us,beachwood trailer park,Beachwood Trailer Park,CA,,33.4666667,-117.6741667
us,beacon station,Beacon Station,CA,,35.1325,-116.2080556
us,beal place,Beal Place,CA,,40.5977778,-121.7486111
us,beall place,Beall Place,CA,,40.0275,-123.8286111
us,bealville,Bealville,CA,,35.2722222,-118.6252778
us,bear creek,Bear Creek,CA,,37.2972222,-120.4163889
us,bear river pines,Bear River Pines,CA,,39.1694444,-120.9669444
us,bear valley,Bear Valley,CA,,38.4647222,-120.0388889
us,bear valley springs,Bear Valley Springs,CA,,35.1591667,-118.6275
us,beatrice,Beatrice,CA,,40.67,-124.2013889
us,beatty junction,Beatty Junction,CA,,36.5880556,-116.9422222
us,beaumont,Beaumont,CA,18593,33.9294444,-116.9763889
us,beckwourth,Beckwourth,CA,,39.8202778,-120.3777778
us,bee rock,Bee Rock,CA,,35.7872222,-120.9380556
us,beegum,Beegum,CA,,40.345,-122.8569444
us,beeks place,Beeks Place,CA,,33.8202778,-117.6377778
us,bel air,Bel Air,CA,,34.0833333,-118.4477778
us,bel marin keys,Bel Marin Keys,CA,,38.0822222,-122.5136111
us,belden,Belden,CA,,40.0061111,-121.2480556
us,belfast,Belfast,CA,,40.4436111,-120.4505556
us,belfort,Belfort,CA,,38.4163889,-119.2661111
us,bell,Bell,CA,38335,33.9775,-118.1861111
us,bell gardens,Bell Gardens,CA,46119,33.9652778,-118.1505556
us,bell mountain,Bell Mountain,CA,,34.6241667,-117.2061111
us,bell springs,Bell Springs,CA,,39.9519444,-123.5841667
us,bella vista,Bella Vista,CA,,40.6408333,-122.2313889
us,bella vista park,Bella Vista Park,CA,,39.2444444,-121.0497222
us,belle haven,Belle Haven,CA,,37.4763889,-122.1583333
us,belle monte,Belle Monte,CA,,37.5191667,-122.2958333
us,belleview,Belleview,CA,,40.5061111,-124.1197222
us,belleview acres,Belleview Acres,CA,,38.0158333,-120.2780556
us,bellevue,Bellevue,CA,,38.4019444,-122.7125
us,bellevue heights,Bellevue Heights,CA,,34.5702778,-117.2797222
us,bellflower,Bellflower,CA,75847,33.8816667,-118.1161111
us,bellota,Bellota,CA,,38.0530556,-121.0127778
us,belltown,Belltown,CA,,34.0116667,-117.3825
us,bellvale,Bellvale,CA,,37.3119444,-122.32
us,bellwood estates,Bellwood Estates,CA,,38.0205556,-120.2997222
us,belmont,Belmont,CA,23998,37.5202778,-122.2747222
us,belmont shore,Belmont Shore,CA,,33.7572222,-118.1361111
us,belvedere,Belvedere,CA,,37.8727778,-122.4633333
us,belvedere heights,Belvedere Heights,CA,,33.9836111,-117.31
us,ben ali,Ben Ali,CA,,38.6219444,-121.4213889
us,ben hur,Ben Hur,CA,,37.3516667,-119.9566667
us,ben lomond,Ben Lomond,CA,,37.0891667,-122.0852778
us,bena,Bena,CA,,35.3266667,-118.7388889
us,benbow,Benbow,CA,,40.0686111,-123.7833333
us,bend,Bend,CA,,40.2552778,-122.2075
us,benicia,Benicia,CA,26742,38.0494444,-122.1575
us,benito,Benito,CA,,36.8216667,-120.4352778
us,benton,Benton,CA,,37.8191667,-118.4755556
us,benton crossing,Benton Crossing,CA,,37.6991667,-118.7630556
us,benton hot springs,Benton Hot Springs,CA,,37.8002778,-118.5280556
us,berenda,Berenda,CA,,37.0402778,-120.1525
us,berg,Berg,CA,,39.1808333,-121.6263889
us,berkeley,Berkeley,CA,100158,37.8716667,-122.2716667
us,bermuda dunes,Bermuda Dunes,CA,,33.7427778,-116.2883333
us,bermuda palms mobile park,Bermuda Palms Mobile Park,CA,,33.7102778,-116.2538889
us,bern,Bern,CA,,35.6891667,-120.5386111
us,berry creek,Berry Creek,CA,,39.6452778,-121.4022222
us,berry glenn,Berry Glenn,CA,,41.3175,-124.04
us,berryessa,Berryessa,CA,,37.3863889,-121.8594444
us,berryessa highlands,Berryessa Highlands,CA,,38.5147222,-122.1866667
us,bertram,Bertram,CA,,33.3783333,-115.7825
us,bestville,Bestville,CA,,41.3008333,-123.1419444
us,beswick,Beswick,CA,,41.9669444,-122.2019444
us,bethany park,Bethany Park,CA,,37.0758333,-121.9919444
us,bethel island,Bethel Island,CA,,38.015,-121.6394444
us,bethune,Bethune,CA,,34.0797222,-117.3058333
us,betteravia,Betteravia,CA,,34.9177778,-120.5138889
us,betteravia junction,Betteravia Junction,CA,,34.9275,-120.5327778
us,beulah park,Beulah Park,CA,,37.0113889,-122.0225
us,beulah picnic ground,Beulah Picnic Ground,CA,,32.8488889,-116.5497222
us,beveridge,Beveridge,CA,,36.7044444,-117.9141667
us,beverly glen,Beverly Glen,CA,,34.1077778,-118.4447222
us,beverly hills,Beverly Hills,CA,35355,34.0736111,-118.3994444
us,bicknell,Bicknell,CA,,34.8166667,-120.3922222
us,bieber,Bieber,CA,,41.1213889,-121.1430556
us,big bar,Big Bar,CA,,40.7411111,-123.2547222
us,big bear city,Big Bear City,CA,,34.2611111,-116.8441667
us,big bear lake,Big Bear Lake,CA,,34.2438889,-116.9105556
us,big bend,Big Bend,CA,,41.0208333,-121.91
us,big bunch,Big Bunch,CA,,36.7572222,-119.5372222
us,big creek,Big Creek,CA,,37.205,-119.245
us,big lagoon,Big Lagoon,CA,,41.1605556,-124.1325
us,big meadow,Big Meadow,CA,,38.415,-120.1141667
us,big oak flat,Big Oak Flat,CA,,37.8236111,-120.2572222
us,big pine,Big Pine,CA,,37.165,-118.2886111
us,big pines,Big Pines,CA,,34.3788889,-117.6891667
us,big river,Big River,CA,,34.14,-114.3605556
us,big rock springs,Big Rock Springs,CA,,34.4352778,-117.8347222
us,big springs,Big Springs,CA,,41.5955556,-122.4038889
us,big sur,Big Sur,CA,,36.2702778,-121.8063889
us,big trees,Big Trees,CA,,38.2775,-120.3094444
us,big trees village,Big Trees Village,CA,,38.3097222,-120.2605556
us,big valley,Big Valley,CA,,38.1319444,-120.4269444
us,biggs,Biggs,CA,,39.4125,-121.7116667
us,bijou,Bijou,CA,,38.9466667,-119.9675
us,bijou park,Bijou Park,CA,,38.9494444,-119.9577778
us,bingham,Bingham,CA,,33.8461111,-118.0583333
us,binghamton,Binghamton,CA,,38.3513889,-121.8216667
us,binney junction,Binney Junction,CA,,39.1575,-121.5891667
us,biola,Biola,CA,,36.8022222,-120.0152778
us,biola junction,Biola Junction,CA,,36.8008333,-119.8677778
us,birch meadow acres,Birch Meadow Acres,CA,,39.1547222,-121.0244444
us,birchville,Birchville,CA,,39.3277778,-121.1433333
us,birds landing,Birds Landing,CA,,38.1327778,-121.8697222
us,bishop,Bishop,CA,,37.3636111,-118.3941667
us,biskra palms,Biskra Palms,CA,,33.79,-116.2522222
us,bissell,Bissell,CA,,34.9947222,-118.0013889
us,bitney corner,Bitney Corner,CA,,39.2319444,-121.1077778
us,bitterwater,Bitterwater,CA,,36.3802778,-121.0016667
us,bivalve,Bivalve,CA,,38.0925,-122.8261111
us,bixby knolls,Bixby Knolls,CA,,33.8355556,-118.1758333
us,bixler,Bixler,CA,,37.9402778,-121.6211111
us,black butte,Black Butte,CA,,41.3916667,-122.36
us,black forest,Black Forest,CA,,40.2591667,-121.3763889
us,black jack bluffs,Black Jack Bluffs,CA,,37.8897222,-120.5830556
us,black meadow landing,Black Meadow Landing,CA,,34.3519444,-114.1969444
us,black oak estates,Black Oak Estates,CA,,38.0366667,-120.2269444
us,black oaks,Black Oaks,CA,,38.8308333,-122.8313889
us,black point,Black Point,CA,,38.1102778,-122.5044444
us,blackhawk,Blackhawk,CA,,37.8208333,-121.9066667
us,blackrock,Blackrock,CA,,36.9291667,-118.2325
us,blackslough landing,Blackslough Landing,CA,,37.9944444,-121.4177778
us,blackwells corner,Blackwells Corner,CA,,35.615,-119.8669444
us,blairsden,Blairsden,CA,,39.7811111,-120.6155556
us,blakes landing,Blakes Landing,CA,,38.1944444,-122.9183333
us,blanchard,Blanchard,CA,,37.7313889,-120.3244444
us,blanco,Blanco,CA,,36.6786111,-121.7416667
us,blavo,Blavo,CA,,39.5716667,-121.7322222
us,blocksburg,Blocksburg,CA,,40.2761111,-123.6352778
us,bloomfield,Bloomfield,CA,,38.3138889,-122.85
us,bloomington,Bloomington,CA,22003,34.0702778,-117.395
us,blossom valley,Blossom Valley,CA,,32.8638889,-116.8597222
us,blue canyon,Blue Canyon,CA,,39.2572222,-120.71
us,blue hills,Blue Hills,CA,,37.2880556,-122.0311111
us,blue jay,Blue Jay,CA,,34.2461111,-117.2088889
us,blue lake,Blue Lake,CA,,40.8830556,-123.9827778
